source,target,tgt_lng
VOLUME,卷,
2025,2025,
SNDR,无杂散动态范围,
INL,积分非线性度,
DNL,微分非线性度,
LSB,最低有效位,
ENOB,有效位数,
MDAC,多级DAC,
ac-short,交流短路,
"SNDR,HG","SNDR,HG",
ADC,模数转换器,
FEB2 boards,FEB2板,
HL-LHC,高能重离子对撞机,
RHBD,辐射硬化,
TID,总电离剂量,
NIEL,非电离能量损失,
SEUs,单事件 upset,
LAr pulse shape,LAr脉冲形状,
PA/S,PA/S,
lpGBT ASICs,lpGBT ASICs,
MDAC residue amplifier,MDAC残差放大器,
OTA,跨导放大器,
VGS,栅源电压,
VTH,阈值电压,
SAR,逐次逼近寄存器,
CMFB,共模反馈,
bandgap and reference generating circuit,带隙基准电路,
crosstalk,串扰,
folded-cascode,折叠共源共栅,
asynchronous SAR,异步逐次逼近寄存器,
Switzerland,瑞士,
high-energy physics,高能物理,
ATLAS liquid argon calorimeter,ATLAS 液体氩量热计,
HL-LHC upgrade,HL-LHC 升级,
American Physical Society,美国物理学会,
CERN,CERN,
Scientific Associate,科学助理,
ALFE,ALFE,
ASIC,专用集成电路,
CR-RC2 filter,CR-RC2滤波器,
FEB2,FEB2,
HG,高增益,
LG,低增益,
SNR,信噪比,
COLUTA,COLUTA,
MSPS,兆采样每秒,
pp collisions,质子-质子碰撞,
DDPU,数字数据处理单元,
CLPS,CERN低功耗信号规范,
lpGBT,低功耗千兆收发器,
I2C networks,I2C网络,
LAr calorimeter,液氩量热计,
VLSB,最低有效位电压,
65-nm foundry process,65纳米晶圆代工厂工艺,
leakage current,漏电流,
W,宽度,
L,长度,
CMOS,互补金属氧化物半导体,
current mirror,电流镜,
VDD,电源电压,
VDSAT,饱和漏源电压,
SEU,单粒子效应,
analog circuitry,模拟电路,
capacitive DAC,电容式数模转换器,
ionizing particle,电离粒子,
dielectric,电介质,
electron–hole pairs,电子空穴对,
metal–insulator–metal (MiM) capacitor,金属-绝缘体-金属电容器,
metal–oxide–metal (MoM) capacitor,金属-氧化物-金属电容器,
MDAC+SARbit,MDAC+SAR位权,
digital decimation filterin,数字抽取滤波,
DSM,DSM拓扑,
inter- and intra-channel redundancy,通道间和通道内冗余,
foreground calibration,前景校准,
subradix-2 DAC scaling,亚2分频DAC缩放,
MDAC CIRCUIT DESIGN,MDAC电路设计,
subranges,子范围,
thermometer DAC,温度计DAC,
flashsub-ADC,闪存亚ADC,
reference buffers,参考缓冲器,
residue amplifier,残差放大器,
nonoverlapping clock generator,非重叠时钟发生器,
Radiationdata,辐射数据,
Singlehistogram,单直方图,
digital control block,数字控制模块,
TMR,三模冗余,
EC counts,纠错计数,
memory registers,内存寄存器,
ADC channels,ADC通道,
TMR corruptions,TMR损坏,
TID effects,总剂量效应,
latch-up,闩锁效应,
MiM capacitors,MIM电容器,
AD9042S,AD9042S,
Schreier figure-of-merit (FoMS),Schreier品质因数,
Nyquist,奈奎斯特,
RADIATION-HARD 8-CHANNEL 15-BIT 40-MSPS,抗辐射8通道15位40兆采样率,
Dynamic threshold-voltage MOSFET (DTMOS),动态阈值电压MOSFET,
IEEE Trans. Electron Devices,IEEE电子器件汇刊,
Proc. IEEE Radiation Effects Data Workshop,IEEE辐射效应数据研讨会会议录,
Proc. IEEE In. Solid-State Circuits Conf.,IEEE固态电路会议会议录,
IEEE J. Solid-State Circuits,IEEE固态电路汇刊,
The University of Texas at Austin,德克萨斯大学奥斯汀分校,
Columbia University,哥伦比亚大学,
Department of Physics,物理学系,
NASA Jet Propulsion Laboratory,NASA喷气推进实验室,
RUI (RAY) XU,徐瑞（RAY）,
B.S.,理学学士,
Ph.D.,哲学博士,
Engineering Associate,工程助理,
RADIATION-HARD,抗辐射,
8-CHANNEL,8通道,
15-BIT,15位,
40-MSPS,40兆采样/秒,
rad hard ADCs,抗辐射模数转换器,
ATLAS LAr calorimeter,ATLAS LAr量热计,
65-nm CMOS process,65纳米CMOS工艺,
triple-well,三阱,
circuit and system level,电路和系统级,
analog performance,模拟性能,
long-term analog accuracy,长期模拟精度,
ionizing radiation,电离辐射,
ATLAS Detector,ATLAS探测器,
BGA package,BGA封装,
Nevis Laboratory,Nevis实验室,
CERN microelectronics group,CERN微电子组,
LHC,大型强子对撞机,
European Strategy Preparatory Group,欧洲战略准备组,
analog bus,模拟总线,
digital bus,数字总线,
timing diagram,时序图,
Sample,采样,
Hold,保持,
Flash,闪存,
calibration constants,校准常数,
detector response,探测器响应,
physics results,物理结果,
background calibration schemes,背景校准方案,
luminosity,亮度,
front-end readout electronics,前端读出电子学,
independent ADC channels,独立 ADC 通道,
Vpp,峰峰值,
bunch crossing rate,bunch 跨越率,
data aggregator ASICs,数据聚合器 ASIC,
external differential DAC,外部差分DAC,
dc values,直流值,
negative and positive full-scale,负和正满量程,
DAC setting,DAC设置,
continuous 222 − 4 samples,连续222-4样本,
histogrammed,直方图化,
radiation test,辐射测试,
filter,滤波器,
LSBs,LSB,
main noise distribution,主噪声分布,
SEU candidates,SEU候选,
ADC data acquisition,ADC数据采集,
statistics,统计,
histogram,直方图,
external DAC code,外部DAC代码,
SEU frequency,SEU频率,
analog quantization circuitry,模拟量化电路,
non-TMR DDPU circuitry,非TMR DDPU电路,
in-beam data,束内数据,
dry-run data,干运行数据,
histogramming,直方图化,
stochastic noise,随机噪声,
bit-error,比特错误,
serial transmission,串行传输,
FPGA,FPGA,
metastability,亚稳态,
rare mechanisms,罕见机制,
Presidential Award for Outstanding Teaching,总统杰出教学奖,
IEEE Solid-State Circuits Society Innovative Education Award,IEEE固态电路学会创新教育奖,
Best Student Paper Award,最佳学生论文奖,
IEEE Radio Frequency Integrated Circuits (RFIC) Symposium,IEEE射频集成电路 Symposium,
Vodafone Americas Foundation Wireless Innovation Challenge,沃达丰美洲基金会无线创新挑战,
ACM Conference on Embedded Networked Sensor Systems (ACM SenSys),ACM嵌入式网络传感器系统会议,
IEEE Communications Society Award for Advances in Communications,IEEE通信学会通信进步奖,
Interdigital Wireless Innovation Challenge,Interdigital无线创新挑战,
IEEE Custom Integrated Circuits Conference,IEEE定制集成电路会议,
IEEE Distinguished Lecturer of the Solid-State Circuits Society,IEEE固态电路学会杰出讲师,
IEEE Solid-State Circuits Adcom,IEEE固态电路委员会,
IEEE JOURNAL OF SOLID-STATE CIRCUITS,IEEE固态电路期刊,
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS—PART II: EXPRESS BRIEFS,IEEE电路与系统汇刊—第二部分：简报,
Technical Program Committee,技术程序委员会,
Symposium on VLSI Circuits,超大规模集成电路 Symposium,
European Solid-State Circuits Conference,欧洲固态电路会议,
International Solid-State Circuits Conference,国际固态电路会议,
TABLE 2,表2,
common-mode input voltage,共模输入电压,
0.6 V,0.6伏,
10M consecutive samples,1000万连续样本,
noise,噪声,
input dynamic range,输入动态范围,
full-scale sinusoid,满量程正弦波,
standard deviation,标准差,
noise distribution,噪声分布,
outliers,异常值,
power consumption,功耗,
circuit block,电路模块,
182k LAr channels,182k LAr通道,
Table 3,表3,
radiation robustness,抗辐射性,
Francis H. Burr Proton Therapy Center,弗朗西斯·H·伯恩质子治疗中心,
Massachusetts General Hospital,麻省总医院,
bit weights,位权重,
latch-ups,闩锁效应,
PT1000 RTD sensor,PT1000热电阻传感器,
QFN package,QFN封装,
power cycled,电源循环,
National Chung Cheng University,中华民国云林科技大学,
Chiayi,嘉义,
Taiwan,台湾,
National Taiwan University,国立台湾大学,
Taipei,台北,
Austin,奥斯汀,
TX,德克萨斯州,
Analog Devices,亚德诺半导体,
Wilmington,威尔明顿,
MA,马萨诸塞州,
Analog and Mixed- Signal Design Engineer,模拟与混合信号设计工程师,
high-performance data converters,高性能数据转换器,
mixed-signal and analog IC design,混合信号与模拟集成电路设计,
SUBHAJIT RAY,SUBHAJIT RAY,
IEEE,IEEE,
Princeton University,普林斯顿大学,
Princeton,普林斯顿,
NJ,新泽西州,
New York,纽约,
Air Force Research Laboratory,美国空军研究实验室,
Rome,罗马,
IBM Quantum T.J. Watson Research Center,IBM量子T.J.沃森研究中心,
YorktownHeights,约克敦高地,
analog integrated circuits and systems for quantum computing,量子计算用模拟集成电路与系统,
Engineering Physics Senior Thesis Award,工程物理学优秀毕业论文奖,
IEEE International Solid-State Circuits Conference,IEEE国际固态电路会议,
ISSCC,ISSCC,
IEEE Solid-State Circuits Society,IEEE固态电路学会,
Predoctoral Achievement Award,博士前成就奖,
IEEE SOLID-STATE CIRCUITS LETTERS,IEEE固态电路快报,
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS—PART I: REGULAR PAPERS,IEEE电路与系统汇刊-第一部分：常规论文,
2017,2017,
Texas Instruments,德州仪器,
"Dallas, TX, USA",达拉斯，德克萨斯州，美国,
The University of Texas at Dallas,德克萨斯大学达拉斯分校,
"Richardson, TX, USA",理查德森，德克萨斯州，美国,
NASA Space Technology Graduate Research Fellowship,NASA太空技术研究生奖学金,
Brookhaven National Laboratory,布鲁克海文国家实验室,
"Upton, NY, USA",昂顿，纽约州，美国,
high-energy physics applications,高能物理应用,
analog/mixed-signal CMOS circuit design,模拟/混合信号CMOS电路设计,
extreme environments,极端环境,
radiation,辐射,
cryogenic/wide-temperature conditions,低温/宽温条件,
Analog Devices Inc.,亚德诺半导体,
Outstanding Student Designer Award,杰出学生设计奖,
Presidential Distinguished Fellowship,总统杰出奖学金,
IEEE Radio Frequency Circuits Conference (RFIC) Best Student Paper Award,IEEE射频电路会议最佳学生论文奖,
JAROSLAV BÁN,雅罗斯拉夫·巴恩,
"Sobrance, Slovakia",索布兰斯，斯洛伐克,
Technical University of Kosice,科希策技术大学,
computer systems,计算机系统,
Ph.D. degree,博士学位,
high-energy physics (HEP),高能物理（HEP）,
Joint Institute of Nuclear Research,联合核研究所,
"Dubna, Russia",杜布纳，俄罗斯,
Institute of Experimental Physics (IEP),实验物理研究所（IEP）,
Slovak Academy of Sciences (SAS),斯洛伐克科学院（SAS）,
"Bratislava, Slovakia",布拉迪斯拉发，斯洛伐克,
radiation-hard electronics,抗辐射电子,
MPI,马克斯·普朗克研究所,
"Munich, Germany",慕尼黑，德国,
liquid argon hadronic endcap calorimeter,液氩强子端盖量热计,
ATLAS experiment,ATLAS实验,
European Center for Nuclear Research Laboratory (CERN),欧洲核子研究中心实验室（CERN）,
"Geneva, Switzerland",日内瓦，瑞士,
Backward EM Calorimeter,反向电磁量热计,
H1 experiment,H1实验,
DESY,DESY,
"Hamburg, Germany",汉堡，德国,
Nevis Laboratories,内维斯实验室,
Senior Staff Associate,高级研究助理,
SARTHAK KALANI,萨尔塔克·卡兰尼,
Indian Institute of Technology (IIT) Delhi,印度理工学院（IIT）德里分校,
B.Tech. degree,工学学士,
M.S. degree,理学硕士,
electrical engineering,电气工程,
Qualcomm Atheros Inc.,高通Atheros公司,
"Santa Clara, CA, USA",圣克拉拉，加利福尼亚州，美国,
Staff Design Engineer,高级设计工程师,
"RF, Analog, and Mixed-Signal Circuit Design Group",射频、模拟和混合信号电路设计组,
Silicon Labs,硅 Labs,
Bell Labs,贝尔实验室,
"Bengaluru, India",班加罗尔，印度,
time-domain signal processing,时域信号处理,
wideband receiver architectures,宽带接收器架构,
Department Research Award,部门研究奖,
Armstrong Ph.D. Fellowship,阿姆斯特朗博士奖学金,
Institute Silver Medal,学院银质奖章,
Todai Outstanding Student Scholarship,东大杰出学生奖学金,
National Gold Medal,国家金牌,
